Vardas         Pavarde        Galutinis (Vid.)
vardas1        pavarde1       3.65               
vardas2        pavarde2       2.78               
vardas3        pavarde3       8.55               
vardas4        pavarde4       4.89               
vardas5        pavarde5       3.80               
vardas6        pavarde6       2.75               
vardas7        pavarde7       7.20               
vardas8        pavarde8       7.51               
vardas9        pavarde9       7.85               
vardas10       pavarde10      6.47               
vardas11       pavarde11      4.40               
vardas12       pavarde12      7.58               
vardas13       pavarde13      5.93               
vardas14       pavarde14      3.56               
vardas15       pavarde15      7.95               
vardas16       pavarde16      2.64               
vardas17       pavarde17      6.87               
vardas18       pavarde18      5.58               
vardas19       pavarde19      3.51               
vardas20       pavarde20      6.07               
vardas21       pavarde21      5.36               
vardas22       pavarde22      7.91               
vardas23       pavarde23      9.09               
vardas24       pavarde24      7.62               
vardas25       pavarde25      7.87               
vardas26       pavarde26      5.82               
vardas27       pavarde27      5.64               
vardas28       pavarde28      4.53               
vardas29       pavarde29      8.35               
vardas30       pavarde30      6.22               
vardas31       pavarde31      8.91               
vardas32       pavarde32      4.20               
vardas33       pavarde33      5.53               
vardas34       pavarde34      8.62               
vardas35       pavarde35      5.47               
vardas36       pavarde36      7.65               
vardas37       pavarde37      7.42               
vardas38       pavarde38      2.42               
vardas39       pavarde39      3.31               
vardas40       pavarde40      8.25               
vardas41       pavarde41      3.80               
vardas42       pavarde42      2.31               
vardas43       pavarde43      6.95               
vardas44       pavarde44      2.82               
vardas45       pavarde45      5.96               
vardas46       pavarde46      7.55               
vardas47       pavarde47      5.96               
vardas48       pavarde48      6.55               
vardas49       pavarde49      3.84               
vardas50       pavarde50      8.15               
vardas51       pavarde51      2.98               
vardas52       pavarde52      2.56               
vardas53       pavarde53      7.53               
vardas54       pavarde54      6.20               
vardas55       pavarde55      6.98               
vardas56       pavarde56      8.33               
vardas57       pavarde57      7.82               
vardas58       pavarde58      4.76               
vardas59       pavarde59      3.84               
vardas60       pavarde60      5.07               
vardas61       pavarde61      5.84               
vardas62       pavarde62      6.24               
vardas63       pavarde63      3.80               
vardas64       pavarde64      5.98               
vardas65       pavarde65      4.98               
vardas66       pavarde66      6.78               
vardas67       pavarde67      3.11               
vardas68       pavarde68      6.42               
vardas69       pavarde69      5.56               
vardas70       pavarde70      2.16               
vardas71       pavarde71      5.42               
vardas72       pavarde72      3.42               
vardas73       pavarde73      6.11               
vardas74       pavarde74      3.24               
vardas75       pavarde75      3.67               
vardas76       pavarde76      7.09               
vardas77       pavarde77      3.27               
vardas78       pavarde78      4.25               
vardas79       pavarde79      7.20               
vardas80       pavarde80      5.22               
vardas81       pavarde81      7.58               
vardas82       pavarde82      7.02               
vardas83       pavarde83      3.78               
vardas84       pavarde84      6.36               
vardas85       pavarde85      5.25               
vardas86       pavarde86      5.00               
vardas87       pavarde87      3.84               
vardas88       pavarde88      4.15               
vardas89       pavarde89      3.00               
vardas90       pavarde90      5.25               
vardas91       pavarde91      6.67               
vardas92       pavarde92      4.65               
vardas93       pavarde93      8.00               
vardas94       pavarde94      4.40               
vardas95       pavarde95      8.62               
vardas96       pavarde96      5.69               
vardas97       pavarde97      7.47               
vardas98       pavarde98      2.64               
vardas99       pavarde99      4.40               
vardas100      pavarde100     5.89               
